"uf";"nome_munic";"populacao"
"AC";"Senador Guiomard";23236
"AC";"Sena Madureira";46511
"AC";"Tarauacá";43151
"AC";"Xapuri";19596
"AC";"Porto Acre";18824
"AM";"Alvarães";16220
"AM";"Amaturá";11736
"AM";"Anamã";13956
"AM";"Anori";21477
"AM";"Apuí";22359
"AM";"Atalaia do Norte";20398
"AM";"Autazes";40290
"AM";"Barcelos";27638
"AM";"Barreirinha";32483
"AM";"Benjamin Constant";43935
"AM";"Beruri";20093
"AM";"Boa Vista do Ramos";19626
"AM";"Boca do Acre";34635
"AM";"Borba";41748
"AM";"Caapiranga";13283
"AM";"Canutama";15807
"AM";"Carauari";28508
"AM";"Careiro";38348
"AM";"Careiro da Várzea";30846
"AM";"Coari";85910
"AM";"Codajás";29168
"AM";"Eirunepé";35700
"AM";"Envira";20393
"AM";"Fonte Boa";17005
"AM";"Guajará";16937
"AM";"Humaitá";56144
"AM";"Ipixuna";30436
"AM";"Iranduba";49011
"AM";"Itacoatiara";102701
"AM";"Itamarati";7814
"AM";"Itapiranga";9230
"AM";"Japurá";2251
"AM";"Juruá";15106
"AM";"Jutaí";13886
"AM";"Lábrea";46882
"AM";"Manacapuru";98502
"AM";"Manaquiri";33049
"AM";"Manaus";2219580
"AM";"Manicoré";56583
"AM";"Maraã";18261
"AM";"Maués";65040
"AM";"Nhamundá";21443
"AM";"Nova Olinda do Norte";38026
"AM";"Novo Airão";19928
"AM";"Novo Aripuanã";26046
"AM";"Parintins";115363
"AM";"Pauini";19522
"AM";"Presidente Figueiredo";37193
"AM";"Rio Preto da Eva";34106
"AM";"Santa Isabel do Rio Negro";25865
"AM";"Santo Antônio do Içá";21243
"AM";"São Gabriel da Cachoeira";46303
"AM";"São Paulo de Olivença";40073
"AM";"São Sebastião do Uatumã";14352
"AM";"Silves";9230
"AM";"Tabatinga";67182
"AM";"Tapauá";17015
"AM";"Tefé";59547
"AM";"Tonantins";18897
"AM";"Uarini";13690
"AM";"Urucará";16130
"AM";"Urucurituba";23585
"RR";"Amajari";13185
"RR";"Alto Alegre";15380
"RR";"Boa Vista";419652
"RR";"Bonfim";12557
"RR";"Cantá";18799
"RR";"Caracaraí";22283
"RR";"Caroebe";10383
"RR";"Iracema";12296
"RR";"Mucajaí";18172
"RR";"Normandia";11532
"RR";"Pacaraima";18913
"RR";"Rorainópolis";30782
"RR";"São João da Baliza";8348
"RR";"São Luiz";8110
"RR";"Uiramutã";10789
"PA";"Abaetetuba";159080
"PA";"Abel Figueiredo";7486
"PA";"Acará";55669
"PA";"Afuá";39567
"PA";"Água Azul do Norte";27615
"PA";"Alenquer";57092
"PA";"Almeirim";34076
